line,family,interface,scenario,dn,diameter_m,route_length_m,flow_basis_g_s,metric,min_value,expected_value,max_value,unit,source_document,source_section,source_table,source_figure,source_requirement,operating_basis,rtm_calculation,travel_time_60m_expected,transport_delay_s,emergency_recovery_min,emergency_recovery_expected,emergency_recovery_max
U,warm,U,purge,DN65,0.065,91.5,12.0,Density,1.184,1.377,1.57,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,U purge,RTM-289,12.5,31.562,1.184,1.377,1.57
U,warm,U,purge,DN65,0.065,91.5,12.0,Velocity,4.128,4.8,5.472,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,U purge,RTM-289,12.5,31.562,4.128,4.8,5.472
U,warm,U,guard replenishment,DN65,0.065,91.5,20.0,Density,1.247,1.45,1.653,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,U guard replenishment,RTM-289,9.375,23.672,1.247,1.45,1.653
U,warm,U,guard replenishment,DN65,0.065,91.5,20.0,Velocity,5.504,6.4,7.296,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,U guard replenishment,RTM-289,9.375,23.672,5.504,6.4,7.296
W,warm,W,2K-SB,DN80,0.08,151.5,1.0,Density,1.597,1.947,2.297,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,W 2K-SB,RTM-292,8.315,20.995,1.597,1.947,2.297
W,warm,W,2K-SB,DN80,0.08,151.5,1.0,Velocity,5.917,7.216,8.515,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,W 2K-SB,RTM-292,8.315,20.995,5.917,7.216,8.515
W,warm,W,2K-OP,DN80,0.08,151.5,3.0,Density,1.109,1.353,1.597,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,W 2K-OP,RTM-292,5.589,14.111,1.109,1.353,1.597
W,warm,W,2K-OP,DN80,0.08,151.5,3.0,Velocity,8.804,10.736,12.668,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,W 2K-OP,RTM-292,5.589,14.111,8.804,10.736,12.668
W,warm,W,0-3 g/s envelope,DN80,0.08,151.5,3.0,Density,1.353,1.65,1.947,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,W 0–3 g/s envelope,RTM-292,6.818,17.216,1.353,1.65,1.947
W,warm,W,0-3 g/s envelope,DN80,0.08,151.5,3.0,Velocity,7.216,8.8,10.384,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,W 0–3 g/s envelope,RTM-292,6.818,17.216,7.216,8.8,10.384
S,warm,S,residual,DN150,0.15,60.0,10.0,Density,1.162,1.32,1.478,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S residual,RTM-296,40.816,103.061,1.162,1.32,1.478
S,warm,S,residual,DN150,0.15,60.0,10.0,Velocity,1.294,1.47,1.646,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S residual,RTM-296,40.816,103.061,1.294,1.47,1.646
S,warm,S,100 g/s nominal,DN150,0.15,60.0,100.0,Density,1.056,1.2,1.344,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S 100 g/s nominal,RTM-296,12.245,30.918,1.056,1.2,1.344
S,warm,S,100 g/s nominal,DN150,0.15,60.0,100.0,Velocity,4.312,4.9,5.488,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S 100 g/s nominal,RTM-296,12.245,30.918,4.312,4.9,5.488
S,warm,S,150 g/s spike,DN150,0.15,60.0,150.0,Density,0.972,1.104,1.236,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S 150 g/s spike,RTM-296,8.163,20.612,0.972,1.104,1.236
S,warm,S,150 g/s spike,DN150,0.15,60.0,150.0,Velocity,6.468,7.35,8.232,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S 150 g/s spike,RTM-296,8.163,20.612,6.468,7.35,8.232
S,warm,S,200 g/s vacuum-break,DN150,0.15,60.0,200.0,Density,0.898,1.02,1.142,kg/m^3,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S 200 g/s vacuum-break,RTM-296,6.122,15.459,0.898,1.02,1.142
S,warm,S,200 g/s vacuum-break,DN150,0.15,60.0,200.0,Velocity,8.624,9.8,10.976,m/s,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model,S 200 g/s vacuum-break,RTM-296,6.122,15.459,8.624,9.8,10.976
