line,scenario,station,route_position_m,pressure_mbar,temperature_k,density,velocity,transport_lag_s,basis,source_document,source_section,source_table,source_figure,source_requirement
B,2K-SB,QCELL outlet,0.0,31.0,2.0,10.148,3.772,0.0,31 mbar @ 2 K to 26 mbar @ 3.9 K from QCELL outlet to QRB interface,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model
B,2K-SB,intermediate route,75.75,28.5,2.95,6.325,6.052,12.517,31 mbar @ 2 K to 26 mbar @ 3.9 K from QCELL outlet to QRB interface,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model
B,2K-SB,QRB interface,151.5,26.0,3.9,4.365,8.77,17.275,31 mbar @ 2 K to 26 mbar @ 3.9 K from QCELL outlet to QRB interface,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model
B,2K-OP,QCELL outlet,0.0,31.0,2.0,7.052,5.612,0.0,31 mbar @ 2 K to 26 mbar @ 3.9 K from QCELL outlet to QRB interface,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model
B,2K-OP,intermediate route,75.75,28.5,2.95,4.395,9.004,8.413,31 mbar @ 2 K to 26 mbar @ 3.9 K from QCELL outlet to QRB interface,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model
B,2K-OP,QRB interface,151.5,26.0,3.9,3.033,13.048,11.611,31 mbar @ 2 K to 26 mbar @ 3.9 K from QCELL outlet to QRB interface,CONTRACT,3 Technical Requirements / QPS User Interfaces,Table 7 Helium Inventory; Table 9 QRB Measuring Points,Figure 3 QPS interface mapping,RTM-289 / RTM-292 / RTM-296 / QPS controls response model
